File Name,GISAID Accession ID,File Size (bytes),Number of Reads,Download Time (Pacific),SHA512
E100000803_L01_36.fq.gz,EPI_ISL_13052298,7767426353,213214887,Mar 10 08:24,C7639636A29B48CE772C16E569CFF8418F2D2950F3F17E4EAC5E5428ED2B23690FCB0B24B95231DC1F51E6CB1B0572EC396EFEBCBE17F4160843D15F9A8A7961
E100000803_L01_40.fq.gz,EPI_ISL_13052299,4509093523,120407578,Mar 10 08:18,92DC8C231A17B719D863436E512906A2977B1A6ACF98D7CE38016AC4A38D4EF019BAF512056E6CB714875632D7924BE446602B66A2483A8710E9B3ED36B86E0D
E100000804_L01_16.fq.gz,EPI_ISL_13052300,3739642126,110003167,Mar 10 08:13,AF33C98642EC9E564CC05BCA288DC80729B6B3F8B6458EFCE6727DB3429B8D9E58C3B8FC8443D0264E71E1A9854FAB2C565B252D214F048182DD9B549A4C4C92
E100000804_L01_17.fq.gz,EPI_ISL_13052301,3865324284,106780574,Mar 10 08:10,530D980B82B3B2E5130C7BEB36B83ADA13534A21C05BFB089E6CA3841BF8C3CBEE230363C237DBB32597F0C8A30A302B69F2DDC4B12ECF513B1C3AB0B5D78503
E100000804_L01_20.fq.gz,EPI_ISL_13052302,5485228446,149217177,Mar 10 08:06,69EF2D3345D3670F557AD9A32080CFE589AB3242BB4FBDD79EE703E5298A542AF5CD9ED6E6746E30085E2A2347566713E1D5E9A408C3EA28E54B2D5CE86F036E
E100001221_L01_28_1.fq.gz,EPI_ISL_13052303,4794696314,82240796,Mar 10 08:31,8D260DFFFC0CCBF53FB4A988115FBA248D4253D1CE45D2FAC82B3FB348C5021E6E11CDCA629E4E90CB018DE8A29B8286C402F042A17C12697D9CCA0B3694BF8D
E100001221_L01_28_2.fq.gz,EPI_ISL_13052303,5326441260,82240796,Mar 10 08:33,1A02746995E508D345630174E8FC41312D8B35AF52C0BD912D651BD1A7951680C7C7C45808887D65E09284B6C795359008D75AE91638CA0B146ECB0A989D4373
E100001233_L01_1.fq.gz,EPI_ISL_13052309,3692186143,85783905,Mar 10 09:54,EA0B7F3415EEBD53CC280A1A997BD3CF6FA6E09B72F81412F463BB439477E290DF6207175222C6BEF0BE496C72F4D7045FC936E612D8D053A65495E3C1EDCE8E
E100001233_L01_10.fq.gz,EPI_ISL_13052315,5697353627,130801016,Mar 10 11:06,5B6CEB0F545D9E564C3A64D3F95D655CDCDE0B7237940F4E9E39BA2EFFC024D7F90EBDB44BA41C24964A7BF02905039E560AC3DE24E2DE79663911A06FCACDFF
E100001233_L01_12.fq.gz,EPI_ISL_13052310,7793637440,181786282,Mar 10 10:08,9BDE9C06CB1F1B06EF052E6F764F0B10BF0892BB87F28E63A74863BDD22AAADE5806189386D394500E08FF50368B2844FE19F642871D187B66673DC59027F0B3
E100001233_L01_15.fq.gz,EPI_ISL_13052311,6710405008,154824726,Mar 10 10:15,6DAB2C272774103593B15B829F27D55EE450D2B2B4025EF5136688300D9F22806C8C24C0F74830A64714922B7AFA39218E66665986E8FE6E48344911363A9CFE
E100001233_L01_16.fq.gz,EPI_ISL_13052312,6435325792,159842119,Mar 10 10:23,5A0D828873489325F12D6768D6ABB123D663E39510A6F37DB6D96922E106C41B75FF1EAC4C2C4EDE806425F63A51F1085C1C461F0B4DC43531E850BE823D31E5
E100001233_L01_17.fq.gz,EPI_ISL_13052313,6608135878,154869938,Mar 10 10:32,B76D9255319804543AF4A57EE81E4CD332164E86238F34128E6999EDA67A75EC5CA3076869B43ADDB4F4A3206B122EE1E24D426C54E4A97D51B640C655364FF9
E100001233_L01_20.fq.gz,EPI_ISL_13052314,4502265008,105847775,Mar 10 10:37,5A6DF33046DF5189878AB3DB4F555B1CDD03DA13F2C1CFDA4B034C1FE364C6936004A2859EA4C10FD78C3FBAA5C6B53B9323446A050814957FCE73B93C8C002C
E100001233_L01_26.fq.gz,EPI_ISL_13052318,7344124641,178905546,Mar 10 11:55,191B20FC94E4066C778F2D19F91BB6E0DC0681A58277D357538ACFDC7274B7F54AAE06B47F3D0393C71A77C38D6211755E7070E2FA09ACFC872B43DD23791368
E100001233_L01_30.fq.gz,EPI_ISL_13052320,10310081726,233687517,Mar 10 12:09,2792DA346909015AC263456FDF8B470B3B9448057D2D79A7A266568B0D9BFF1FC15723977933BB744B56973D4696AD00053BA54F8164D5F5B32F1C9BA6B9D845
E100001233_L01_31.fq.gz,EPI_ISL_13052316,6535488275,150314711,Mar 10 11:41,F229FA5D4F22E22681B37A01B818E8C97C31BC98A631BA7AEB495E3B4DAB50426AB6ECEA492C930F29E93530D2BE5587A30412C4D947472B4DC1CC04C74897C4
E100001233_L01_32.fq.gz,EPI_ISL_13052321,7385407617,174771713,Mar 10 12:34,0DA4DE2CA30E72BDF8FC1E55A3D74DE529A522F63351ACE2039F69ED6C85B71C5FB474707E733172BA585F9877CBC5671827226D9EAB7F43B7420CDF643BFE5D
E100001233_L01_33.fq.gz,EPI_ISL_13052317,8445815791,189102574,Mar 10 11:49,8B90D1703B854000EEAC7D5F66F456964CBEB106891E4615C4D5844853F0365BE790195E8CEC45E0EAED1B3B597EDD93196F84AD02211AB8FF264CABD53AE65F
E100001233_L01_36.fq.gz,EPI_ISL_13052319,6180275579,141210150,Mar 10 12:01,845D886FBC83B691597F602FBF198DD24AA51A28CBFF1C24578C7EF80BC1148B42AB4966443CF360DEB9676072C23D1F3BD695B3941FE3C33CD1146259D4964F
E100001318_L01_10_1.fq.gz,EPI_ISL_13052308,10983812733,161289226,Mar 10 09:09,7DB7AF6B82D1B9D85EFC97E46F9DE6318DD78BEB7D066BEB421396EB3B7F1706AAAE524E5029285B4C0ECA747ABAAD9F940DF431B98526E6CECB786778143F67
E100001318_L01_10_2.fq.gz,EPI_ISL_13052308,10896979907,161289226,Mar 10 09:09,739D8F20B26FC2794EA70ADDBC1B5AED3C47A8B4911BB8D40624C3C4B8708BD21D19030F17F4F3FF2FFD046AF360145F031E1989FC787684F99D209992A52721
E100001335_L01_43_1.fq.gz,EPI_ISL_13052304,4921118574,67967303,Mar 10 08:38,278206DBB8B6E047E6A58876DA7E29DB128E8ED9C3BED0EFA41A7124AA5630FDAF3564D2B59548D76CF9FE9EBD61FA07F6E36DE2884C5F71ABEF9ABFB2872256
E100001335_L01_43_2.fq.gz,EPI_ISL_13052304,5002822802,67967303,Mar 10 08:38,F985C7E998B9B7D11AD3C407F17E9E89FA0DC96FAE60031703F3DB2FC421B2E6AF116C50A4E07D0E02D1C12893BA2EB91F1DDEDDE82514B89E08B13E8CB47AFB
E100001425_L01_2_1.fq.gz,EPI_ISL_13052305,5117717218,59720107,Mar 10 08:54,60C920CF3190C506B089DDC25535894CA09B1EEEC847260C2250FD21456BC9F9446104A4941DE30943CF681E221C1B0980DDB2A7DE82FBBDBFC7FD978745B912
E100001425_L01_2_2.fq.gz,EPI_ISL_13052305,5477933107,59720107,Mar 10 08:54,B7B030ACE2F672AB0BF8F07CDCD713ED4D63EEC96F3DECDBD641F74B9B7D2769070F9867795F2CDB1D8955ED8851DB064C313CF2A4733E2923262B80BF12ECF5
E100001425_L01_4_1.fq.gz,EPI_ISL_13052306,4984246371,56510859,Mar 10 08:49,3147FD91ED9920FF62D241A87B31D79F43B69CE82365DE2630974929850EAF496F641FF34A9445EDACF717E5476D668B4258F39CA08199766BE9612DE8399582
E100001425_L01_4_2.fq.gz,EPI_ISL_13052306,5192273180,56510859,Mar 10 08:49,653196FE08AF8CDBFFE5D28E8D26C344DEDC995327DE2763D82810AB82E55DC2ABA78F3A257D9037DADC9879C82F3C4B8FF8156F21ECA2E94C9DDAB2CCC6322D
E100001425_L01_5_1.fq.gz,EPI_ISL_13052307,6479877189,74216910,Mar 10 08:44,AC6E7617E2AEE9C29180DB52EEBAF142A4A50365ED30BE3640CC38DAD6D2D6F403CB9E97616727AD052FA6DDF62F8ED1B3FE26AAC704BDE4572602EF026737C1
E100001425_L01_5_2.fq.gz,EPI_ISL_13052307,6821951448,74216910,Mar 10 08:44,4D4330CA828AF02B3F3D82919D1FC308A6814E842F95A2FE4281C44A6008AC7410B708A3DA41E077F752BC1BFDF0F76E83B75098E2A47B14F9567762974B7D83
V300046953_L01_10_1.fq.gz,EPI_ISL_13052344,3874465790,47060886,Mar 10 16:05,72726FE12DEB41B48AFD0778695FCBC6CBC6897A63A60B5FACC423D21EFF97BBF4943F0A65D755DC8AB49E90255FA50E07C0BAA92FA30B786DD85F797D43ED96
V300046953_L01_10_2.fq.gz,EPI_ISL_13052344,4121325653,47060886,Mar 10 16:05,11C6BE5ADCC1AB9814F648B96CCE31297414B4703B111D8F0F02CA46A5CAA85C1EBE52687C5EC98412752F2DACD051481A369E036E4262703D2B3A978B26CE3B
V300046953_L01_11_1.fq.gz,EPI_ISL_13052332,2464578560,29523032,Mar 10 14:27,AB966136708EE181E096B933E2D8738CD8C3B408EED097FD9896E5F4CC6A63D1308E770455072A86651E7BB4C752AE868213F17FCF3AA7A2DBF6A0C82011CF56
V300046953_L01_11_2.fq.gz,EPI_ISL_13052332,2630142495,29523032,Mar 10 14:24,C53D6BC2CD89C6C03D79836985E28EEBB86C4CE1CB566055115A7A7CCF4D979784FE0646294D73A506BACC7FE3614136E37A57B499CA16CA343C3B63D313B399
V300046953_L01_12_1.fq.gz,EPI_ISL_13052333,2107419508,24949035,Mar 10 14:32,BC20CB915084C36402688E02C443AAEEECE063C3A6B47E85BC6D45F10C60A5F4FE20BD04B4E0052E49316873F837F11425739F024982CF5EC55BF9E1B7171657
V300046953_L01_12_2.fq.gz,EPI_ISL_13052333,2283540059,24949035,Mar 10 14:33,92A16A02D58CB65B47E1C2D8C4CA3E34202B737AF9296552755A5B3E1C90C83EAA56F3B71F0795D5011987FED1C9B4C3669E2728DFAFA32650EB4DBB9EA63B5A
V300046953_L01_1_1.fq.gz,EPI_ISL_13052339,3553903082,41661672,Mar 10 15:30,1101BDD89D0599D677450F22868379250B31A0DF9C2BC02CFFBE97C7F79A9D86D4B43C40CD8277BBC11F2A42BD85C99FA5C5676367EE93093285CE89400E441D
V300046953_L01_1_2.fq.gz,EPI_ISL_13052339,3702826906,41661672,Mar 10 15:29,44754DE82D874F2386B955F7141B68FBEBE9C8FA9C6678C9DB3A9EA74B0795B31580AF497610CFC28C3B3C902748AF8F42D37BA11B04A92E34D82AE4ED45B7ED
V300046953_L01_30_1.fq.gz,EPI_ISL_13052342,2736351583,32817162,Mar 10 15:52,BC347C109F20BA4B84D0994E657577A0F37A407D24EF3ED9F532A7B2ADE902FA130C4E922876DD2B5A4E2B69D700F7BC055EDC74D2046E1DB8E12E53502B6DE9
V300046953_L01_30_2.fq.gz,EPI_ISL_13052342,3023594284,32817162,Mar 10 15:54,629B6E250CE59EDD0DE0A953594F288CA7C92E6484E13F9A0942A125BB82D1DCC57017DCBB4B1B4A181AC3E58EE9A1868EF452C7BD42C47211020F6F16878FC8
V300046953_L01_32_1.fq.gz,EPI_ISL_13052337,2419537457,28704649,Mar 10 15:07,94DA931FF118E478586EB50538624C0F7F70617E9AF9BBB0320C71006249941E5295A560BC1B2CE1D3AC11A0D96C3BF42B0BECB8BA7E9C647B0B67DF0FC79A63
V300046953_L01_32_2.fq.gz,EPI_ISL_13052337,2554502640,28704649,Mar 10 15:08,24961AAC79C98D20AA45B17D5D19DA102810632464BD3C4F4F1F4D8053CAA341453741DBEF58019F71D1B506BF7FD2A386C47AB60CAD36E814F1EF23CCD25B65
V300046953_L01_33_1.fq.gz,EPI_ISL_13052340,2966182765,34632597,Mar 10 15:38,CEF115E45193D2F754379F4DDF7898D34DD97FD5721F942FC0335A54FAC3A9299E25C2721DD9E1A16B950EEF173786CD00811CB7C2FB3D7F0EBF730B97416488
V300046953_L01_33_2.fq.gz,EPI_ISL_13052340,3045611357,34632597,Mar 10 15:38,A0FD08F72C3BF54B75CC9AC22CA4A30CB083F3AE0C3F7534B2609FF41C017D52B0D4F2402B3DEAE9A210500BD940CA7F4C2DBCB0497F726EB55A4C4BA5BA59F8
V300046953_L01_4_1.fq.gz,EPI_ISL_13052334,2864210866,33662844,Mar 10 14:39,E3FC03DB8DC928592896941C30E001CC2E60AB8ADAB2A3BF7F8321C115918E255B699D0B180426758C62F2CE871FB896117D51C5184BEB8A2D6EBC9437C2F9F4
V300046953_L01_4_2.fq.gz,EPI_ISL_13052334,3054139030,33662844,Mar 10 14:38,8E2E918C5E0C1C0180CDA398BC6D34A58A5A0701D836764C0F37AF4CD99DCC4E99313DD161E72B12A302E888AF9ABBCB1E9333518C085181C580AD1B187350FB
V300046953_L01_5_1.fq.gz,EPI_ISL_13052322,1637045916,19257976,Mar 10 12:25,F70FE1B88EAA1959F29F23A9DAF597DE8CB2E797873D42EAD176E83612A3F2BA2AF33DEAFE2A171AD832530400E2B01C14639831A372BFF671E8FDB1672D7056
V300046953_L01_5_2.fq.gz,EPI_ISL_13052322,1760838731,19257976,Mar 10 12:25,009559B06AC7EAB8653876DDF6155C90B520B77B3C52883213FF63618A0F0E87D589FEED8E3BF1A767E088AEE32C127E8EC339A966EA050B64F1C759D14AA2C3
V300046953_L01_6_1.fq.gz,EPI_ISL_13052335,3927038952,46554955,Mar 10 14:49,338074E9E1B72F22C7125E8AD951D830A875776FFA2D77B597000B50BEE1EDD5D7390531F543ABE4B0B4E55EA267EABA701F333C17363343B847769C2004E937
V300046953_L01_6_2.fq.gz,EPI_ISL_13052335,4083589839,46554955,Mar 10 14:51,A4110CC1CC09F034E6CDEA4CC1002F8CD201ED479868B0B2B32854D0B240A3A5ED40D9B0194D8EC1FC9B05D4E5A1257747A34C8BE8A20481BB71C96BF94B698A
V300046953_L01_7_1.fq.gz,EPI_ISL_13052323,Missing from GISAID,Missing from GISAID,Missing from GISAID,Missing from GISAID
V300046953_L01_7_2.fq.gz,EPI_ISL_13052323,2514875293,28515933,Mar 10 12:52,3DB605D68273595DB97249EC59E4623C1CE03BCFC12B29BDA1B8B8DAEA2E78D23F87EFB51F975384E8C9037178DD37F981DAE3B73BE67D68918FA2687E6C4669
V300046953_L01_8_1.fq.gz,EPI_ISL_13052324,1181609052,16140743,Mar 10 13:02,E7A4542F8082C8EB5D0C7F684B48A821F100BE061E783A740E630B84D6A7B0118FABDB286558706D825655AE77C8790ED589DE030D55E32503186EF5B5C9772A
V300046953_L01_8_2.fq.gz,EPI_ISL_13052324,1286034436,16140743,Mar 10 13:02,C0629E356F5B8983FA6DE651228A974EE3E88825B6803815404FDBDC886F30BAEF8F7A7DAFCF9B9997EB13DFF53D6B9B3C654DDEA71F496D2530B5CE102D9C59
V300046953_L02_10_1.fq.gz,EPI_ISL_13052344,3733474945,45336843,Mar 10 16:08,63D6B3102CDCAAB63AB74305667B08873974F9A11FF17ED00B70AB68502AFA23BF962A49BD0FBBC89F17DC7638FE177C013B6DDDF784FC74E04559C803811C5B
V300046953_L02_10_2.fq.gz,EPI_ISL_13052344,3884294675,45336843,Mar 10 16:04,BEBB909CB1D33964B313C8E4A1F1760EE5839CB31A1FAF9A78362C457C4FD198EBBF3C42C28BF351289E14D5BF72D099CD2B19D2D17FBEF0408DEE5AAECA1DB7
V300046953_L02_11_1.fq.gz,EPI_ISL_13052332,2391998476,28608231,Mar 10 14:26,438C16BE33543951B004BA37955A1F9DA55ADE427D1D89CC18051A9C0FCE9C688AEB02DF5211D3B36E9E8291329AB5CF1A1EBF440712D7143374801656C4D72C
V300046953_L02_11_2.fq.gz,EPI_ISL_13052332,2514073868,28608231,Mar 10 14:27,F509A96BEC08CDDFE97205EEECF081AA9C947DF729562D1DC9C630021A76BD701EC1487BDFE406E61397E77DC2902D14F650F5B40D9BE0481D9EFE5A275F1B6F
V300046953_L02_12_1.fq.gz,EPI_ISL_13052333,2050007123,24285837,Mar 10 14:30,D7EB2555ED7D0045A0A5080BA271630F6BF6465573D7AF9EE5ED8BFA20B739E41A7AF1C0D8C2441DAF9FA61519EB3678782A9CE3CC08C41D78CB53C2140941A5
V300046953_L02_12_2.fq.gz,EPI_ISL_13052333,2171920956,24285837,Mar 10 14:30,2BBF48E1358B2C29208FAD32FDB6371C9D5DB667A6A2921EE9042FF8CCCA2871EEAB788130C8D59328EA0E3B05FB68AC69AC93935122D0EE68FF789FFF8D11E3
V300046953_L02_1_1.fq.gz,EPI_ISL_13052339,3451509387,40466218,Mar 10 15:28,F98937C43D4AB569C796968489AFEBFE4E04CFE28C96ED6F41FEF5DD86AD8166BD60EFE2240BE755F3DB786D8B36295258654E71FA7BE5E2F97BA82D0F623F0A
V300046953_L02_1_2.fq.gz,EPI_ISL_13052339,3536997671,40466218,Mar 10 15:26,A1D271229CE0AE9E4827335133C0637D778B661CC2F042A45EDB742875767B05EF0397B68497649A50B471BA5B5AE9217458AC86EE1F3E76AA6D50238122E419
V300046953_L02_30_1.fq.gz,EPI_ISL_13052342,2650853792,31830797,Mar 10 15:53,4A2ACE4A055815DFE480B6384B762C767D5AF5A944E433E4FBA9D5D1D0624E93B17AEEE57D6042262546F042394C089484B1943F7FC400D41B12E085E9F8F6BC
V300046953_L02_30_2.fq.gz,EPI_ISL_13052342,2879656550,31830797,Mar 10 15:52,9F89D1C78D6CE12BF74A22BBBE0370E9276AE9360048A6C1A74E0E9D006EB8108ADB178E8CF8C3853558C7F62A026C99260A82C726A7CCEF1891DF6B243E2CDE
V300046953_L02_32_1.fq.gz,EPI_ISL_13052337,2376480537,28192638,Mar 10 15:09,5B558DD95BFFA439BD8799AA372991B63502855976B92AA3C23A35321E548AF4FC9AF900D7D0D95A9580F130FD75F11694C2AEBFE71A2F9163DFFDB8CEC25399
V300046953_L02_32_2.fq.gz,EPI_ISL_13052337,2466313643,28192638,Mar 10 15:05,1F62DA55EC8AE73AF68EC06C878CF3AE2E355194734458A02AF3724DE47C5A526A5EAE502698C676D8FF6691723972E24C2C0CD3366636A49339BE9585D9CD49
V300046953_L02_33_1.fq.gz,EPI_ISL_13052340,2886561474,33725808,Mar 10 15:35,2E1B62BA6CAE13709F5DE7B2F799334B6EFF2E5575C7ABA191977DDA917615D855CF1F0ACA97D52D23C9F8C5DEFE29B79C09C3D6BEB9647ADE6A752928C6FC0C
V300046953_L02_33_2.fq.gz,EPI_ISL_13052340,2925710305,33725808,Mar 10 15:40,83A94FDB44544878F0AE9F47A67BE93BFBC7F6EC11F7C0E1A87F13918944C14D4D35F4E440C8FB9B05C39AB53B3F4E44548ECBA21B9625164E3AE5815C692662
V300046953_L02_4_1.fq.gz,EPI_ISL_13052334,2748365411,32330575,Mar 10 14:36,7072599453B886DA9C7BEE06277830824C850844E75B881D89229D2D89F5EF1391F2DE0D406957671A28656BD30E0F57B932E78E18B4DCF018916D6E16393E6E
V300046953_L02_4_2.fq.gz,EPI_ISL_13052334,2871387133,32330575,Mar 10 14:39,D3CEF903FEDDAF1FA39FF0CA1801FE1ECFFDA4DB8B45A03BE00FFD7E6A7D95E60E301ECA8A3D8F64779ED271C1F74025219266C53CE64BA669788485B81931C4
V300046953_L02_5_1.fq.gz,EPI_ISL_13052322,1586028736,18653173,Mar 10 12:25,875112530C1C5A6B70086EA112A4A4E2D001F4C1AEA56B13A4FF8F77067491C097ED9926831FFE784D5619D6087F00B644581E223B8F4FE226C24EE4765B05CA
V300046953_L02_5_2.fq.gz,EPI_ISL_13052322,1683275061,18653173,Mar 10 12:24,66D956E0EB92E67C4BBDE8269298DFA3672190CD288F504CDA65C13619204C21334BEFA857EA531C9C3833A2E2EAE21DFF4621E5222C6E0AE161BB11C3F5C0CE
V300046953_L02_6_1.fq.gz,EPI_ISL_13052335,3897226764,46198641,Mar 10 14:46,570C10A158D1EE8686B43226A583CBB10A75AC73D45F48A04F02C9BC56CC955ADD4C9A08940C39D56985CF26022B627CD37A676536978CD79C4A6F73D47B3AB6
V300046953_L02_6_2.fq.gz,EPI_ISL_13052335,3991355700,46198641,Mar 10 14:50,C89CD1C213A241984408221575E41F1683719AB37F1BAAC5A7A1D44D1A3ADEB7C7BD1D82822EDFE07E0C1E28344D45E5D07418F1650015CECB59DECCB037265B
V300046953_L02_7_1.fq.gz,EPI_ISL_13052323,2323297559,27729167,Mar 10 12:53,47149F78293B1D8E3DF180932608209EDD3807B2A3FA89E80B5BDB4F99C0F708169292AB13F31F40C06588428B7E31B7258CB2782BEBEB10C091E77AEF9A194F
